14.216: [GC [PSYoungGen: 22880K->64K(22336K)] 24618K->1802K(64640K), 0.0004440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.307: [GC [PSYoungGen: 22272K->96K(21696K)] 24010K->1834K(64000K), 0.0004500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.365: [GC [PSYoungGen: 21664K->32K(21056K)] 23402K->1770K(63360K), 0.0004660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.412: [GC [PSYoungGen: 21024K->32K(20480K)] 22762K->1770K(62784K), 0.0004640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.458: [GC [PSYoungGen: 20448K->64K(20032K)] 22186K->1802K(62336K), 0.0003900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.503: [GC [PSYoungGen: 19968K->64K(19456K)] 21706K->1802K(61760K), 0.0005050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.547: [GC [PSYoungGen: 19456K->64K(19008K)] 21194K->1802K(61312K), 0.0004650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.589: [GC [PSYoungGen: 18944K->64K(18432K)] 20682K->1802K(60736K), 0.0004980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.631: [GC [PSYoungGen: 18432K->64K(18048K)] 20170K->1802K(60352K), 0.0004520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.672: [GC [PSYoungGen: 17984K->32K(17536K)] 19722K->1770K(59840K), 0.0004510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.711: [GC [PSYoungGen: 17504K->96K(17152K)] 19242K->1834K(59456K), 0.0003310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.749: [GC [PSYoungGen: 17120K->64K(16704K)] 18858K->1802K(59008K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.787: [GC [PSYoungGen: 16704K->96K(16384K)] 18442K->1834K(58688K), 0.0003530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.824: [GC [PSYoungGen: 16352K->64K(15936K)] 18090K->1802K(58240K), 0.0003640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.860: [GC [PSYoungGen: 15936K->32K(15616K)] 17674K->1770K(57920K), 0.0003650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.895: [GC [PSYoungGen: 15520K->32K(15232K)] 17258K->1770K(57536K), 0.0004560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.930: [GC [PSYoungGen: 15200K->64K(14976K)] 16938K->1802K(57280K), 0.0004000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.963: [GC [PSYoungGen: 14912K->64K(14592K)] 16650K->1802K(56896K), 0.0004380 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.996: [GC [PSYoungGen: 14592K->64K(14336K)] 16330K->1802K(56640K), 0.0004240 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.028: [GC [PSYoungGen: 14272K->96K(14016K)] 16010K->1834K(56320K), 0.0003630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.060: [GC [PSYoungGen: 13984K->64K(13632K)] 15722K->1802K(55936K), 0.0004890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
