25.656: [GC [PSYoungGen: 9632K->32K(11584K)] 11369K->1769K(53888K), 0.0045380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.714: [GC [PSYoungGen: 11552K->32K(13888K)] 13289K->1769K(56192K), 0.0016930 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.781: [GC [PSYoungGen: 13856K->32K(16704K)] 15593K->1769K(59008K), 0.0004850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.859: [GC [PSYoungGen: 16672K->32K(20032K)] 18409K->1769K(62336K), 0.0004210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.953: [GC [PSYoungGen: 20000K->32K(24064K)] 21737K->1769K(66368K), 0.0004220 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.066: [GC [PSYoungGen: 24032K->32K(28864K)] 25769K->1769K(71168K), 0.0004180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.201: [GC [PSYoungGen: 28832K->32K(27968K)] 30569K->1769K(70272K), 0.0005970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.332: [GC [PSYoungGen: 27936K->32K(27136K)] 29673K->1769K(69440K), 0.0005550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.460: [GC [PSYoungGen: 27104K->32K(26304K)] 28841K->1769K(68608K), 0.0004480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.583: [GC [PSYoungGen: 26272K->32K(25536K)] 28009K->1769K(67840K), 0.0005680 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.703: [GC [PSYoungGen: 25504K->32K(24768K)] 27241K->1769K(67072K), 0.0004290 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.819: [GC [PSYoungGen: 24736K->32K(29760K)] 26473K->1769K(72064K), 0.0032190 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
26.962: [GC [PSYoungGen: 29728K->32K(28800K)] 31465K->1769K(71104K), 0.0004270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.097: [GC [PSYoungGen: 28768K->32K(27904K)] 30505K->1769K(70208K), 0.0018590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.229: [GC [PSYoungGen: 27872K->32K(27072K)] 29609K->1769K(69376K), 0.0004540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.356: [GC [PSYoungGen: 27040K->32K(26240K)] 28777K->1769K(68544K), 0.0006700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.479: [GC [PSYoungGen: 26208K->32K(25472K)] 27945K->1769K(67776K), 0.0004980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.598: [GC [PSYoungGen: 25440K->32K(24704K)] 27177K->1769K(67008K), 0.0004950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
